street,street_type,zip_code,parish,county,coastal_area
RUA ALFREDO ROQUE GAMEIRO,Rua,1600-006,Lisboa,Lisboa,Coastal Area
RUA DO FERRAGIAL DE BAIXO,Rua,1200-182,Lisboa,Lisboa,Coastal Area
RUA FONTAÍNHAS S.LOURENÇO,Rua,1100-246,Lisboa,Lisboa,Coastal Area
RUA LUÍS FILIPE DE ARAÚJO,Rua,2770-186,Terrugem,Oeiras,Coastal Area
TRAVESSA CHÃO DO LOUREIRO,Travessa,1100-146,Lisboa,Lisboa,Coastal Area
RUA CAMILO CASTELO BRANCO,Rua,1050-044,Lisboa,Lisboa,Coastal Area
RUA DO DIÁRIO DE NOTÍCIAS,Travessa,1200-010,Lisboa,Lisboa,Coastal Area
RUA LUÍS PASTOR DE MACEDO,Rua,1750-155,Lisboa,Lisboa,Coastal Area
RUA MANUEL D'ARAÚJO VIANA,Rua,2750-419,Cascais,Cascais,Coastal Area
AVENIDA DAS NAÇÕES UNIDAS,Largo,1600-498,Lisboa,Lisboa,Coastal Area
LARGO SANTO ANTÓNIO DA SÉ,Largo,1100-499,Lisboa,Lisboa,Coastal Area
RUA PADRE SENA DE FREITAS,Rua,1170-282,Lisboa,Lisboa,Coastal Area
RUA DOS ÁLAMOS DA MARINHA,Rua,2750-007,Quinta da Marinha,Cascais,Coastal Area
RUA DOUTOR OLIVEIRA RAMOS,Rua,1900-210,Lisboa,Lisboa,Coastal Area
RUA MANUEL TEIXEIRA GOMES,Rua,2685-893,Sacavém,Loures,Coastal Area
TRAVESSA DE CAMPO OURIQUE,Travessa,1350-050,Lisboa,Lisboa,Coastal Area
RUA DOM CRISTÓVÃO DA GAMA,Rua,1400-115,Lisboa,Lisboa,Coastal Area
TRAVESSA DE SANTO ANTONIO,Travessa,1170-335,Lisboa,Lisboa,Coastal Area
BECO DO FORNO A SÃO PAULO,Beco,1200-197,Lisboa,Lisboa,Coastal Area
RUA DA FOZ EDIF. R/C ESQ.,Rua,2530-221,Praia da Areia Branca,Lourinhã,Coastal Area
RUA CARLOS JOSÉ BARREIROS,Rua,1000-087,Lisboa,Lisboa,Coastal Area
AVENIDA DR MÁRIO MOUTINHO,Avenida,1400-136,Lisboa,Lisboa,Coastal Area
RUA PROVEDOR JORGE FIALHO,Rua,2655-298,Ericeira,Mafra,Coastal Area
RUA DOUTOR ANTÓNIO GRANJO,Rua,2775-155,Parede,Cascais,Coastal Area
RUA GENERAL ALVES ROÇADAS,Rua,2710-527,Sintra,Sintra,Coastal Area
1ª RUA ANTÓNIO MARIA PAIS,Rua,1885-001,Moscavide,Loures,Coastal Area
RUA DOUTOR FLÁVIO RESENDE,Rua,2775-195,Parede,Cascais,Coastal Area
PRACETA CASAL DE SÃO JOÃO,Praceta,2655-495,Ericeira,Mafra,Coastal Area
LARGO MANUEL DIAS PEREIRA,Travessa,2715-640,Maceira,Sintra,Not Coastal Area
1ª RUA DO ARCO SÃO MAMEDE,Rua,1250-027,Lisboa,Lisboa,Coastal Area
1ª RUA ANTONIO MARIA PAIS,Rua,1885-001,Moscavide,Loures,Coastal Area
RUA DOUTOR ANTÓNIO GRANJO,Rua,1070-089,Lisboa,Lisboa,Coastal Area
RUA AFONSO DE ALBUQUERQUE,Rua,2765-515,São Pedro do Estoril,Cascais,Coastal Area
TRAVESSA HENRIQUE BARBOSA,Travessa,2680-272,Apelação,Loures,Coastal Area
RUA JOÃO RAFAEL PRUDÊNCIO,,2560-100,Porto Novo,Torres Vedras,Coastal Area
RUA FONTAÍNHAS S. LOUENÇO,Rua,1100-246,Lisboa,Lisboa,Coastal Area
TRAVESSA DA CRUZ DE SOURE,Rua,1200-167,Lisboa,Lisboa,Coastal Area
RUA AFONSO DE ALBUQUERQUE,Rua,2685-013,Sacavém,Loures,Coastal Area
RUA COSTA DO CASTELO VILA,,1100-176,Lisboa,Lisboa,Coastal Area
1ª RUA JOÃO ALVES FREITAS,Largo,2705-098,Azenhas do Mar,Sintra,Coastal Area
CALÇADA MARQUÊS ABRANTES,Calçada,1200-718,Lisboa,Lisboa,Coastal Area
RUA ALBINO JOSÉ BAPTISTA,Rua,2710-182,Sintra,Sintra,Coastal Area
CALÇADINHA DE SÃO MIGUEL,Calçadinha,1100-539,Lisboa,Lisboa,Coastal Area
PRACETA MAR À VISTA LOTE,Praceta,2530-064,Abelheira,Lourinhã,Coastal Area
TRAVESSA SANTANA DA CRUZ,Travessa,1150-310,Lisboa,Lisboa,Coastal Area
RUA LEITE DE VASCONCELOS,Rua,1170-200,Lisboa,Lisboa,Coastal Area
1ª RUA BERNARDIM RIBEIRO,Rua,1150-069,Lisboa,Lisboa,Coastal Area
RUA MÁRIO FIRMINO MIGUEL,Rua,2710-091,Cabriz,Sintra,Coastal Area
RUA FRANCISCO DA HOLANDA,Rua,1600-087,Lisboa,Lisboa,Coastal Area
PRAÇA MUNICÍPIO 20-22-24,Praça,1100-365,Lisboa,Lisboa,Coastal Area
RUA CORDOEIROS PEDROUÇOS,Rua,1400-071,Lisboa,Lisboa,Coastal Area
RUA CASAL DE SÃO VICENTE,Rua,2700-170,Amadora,Amadora,Coastal Area
RUA VISCONDE MOREIRA REY,Rua,2790-162,Carnaxide,Oeiras,Coastal Area
LARGO CHAFARIZ DE DENTRO,Largo,1100-139,Lisboa,Lisboa,Coastal Area
RUA VASCO MENDONÇA ALVES,Rua,1900-434,Lisboa,Lisboa,Coastal Area
CALÇADA DAS NECESSIDADES,Calçada,1350-214,Lisboa,Lisboa,Coastal Area
CAMINHO FONTE DOS AMORES,Caminho,2710-559,Sintra,Sintra,Coastal Area
TRAVESSA MACHADO CARNIDE,Travessa,1500-397,Lisboa,Lisboa,Coastal Area
ESTRADA PRAIA DO MAGOITO,Largo,2705-682,Magoito,Sintra,Coastal Area
RUA SANTANA 1640 MORADIA,Rua,2750-833,Cobre,Cascais,Coastal Area
RUA MADRES 11-15 RC ESQ.,Rua,1200-709,Lisboa,Lisboa,Coastal Area
RUA MARQUÊS DE FRONTEIRA,Rua,1070-294,Lisboa,Lisboa,Coastal Area
LARGO FERREIRA DE CASTRO,Rua,2710-551,Sintra,Sintra,Coastal Area
RUA MADALENA 287 DIREITO,Rua,1100-320,Lisboa,Lisboa,Coastal Area
RUA ALÍPIO FRANCO LEITÃO,Rua,2655-225,Ericeira,Mafra,Coastal Area
AVENIDA DOM VASCO CAMARA,Avenida,2775-708,Rebelva,Cascais,Coastal Area
AVENIDA DOM VASCO CÂMARA,Avenida,2775-708,Rebelva,Cascais,Coastal Area
RUA DOUTOR JOAQUIM MANSO,Rua,2765-535,Areias,Cascais,Coastal Area
RUA NOVA DA ALFARROBEIRA,Rua,2750-452,Cascais,Cascais,Coastal Area
RUA CORVOS 19 S/LOJA DTO,Rua,1100-174,Lisboa,Lisboa,Coastal Area
RUA MANUEL DA SILVA LEAL,Rua,1600-166,Lisboa,Lisboa,Coastal Area
RUA CHAFARIZ DA FIGUEIRA,Rua,2640-571,Mafra,Mafra,Coastal Area
ESCADINHAS SÃO CRISTÓVÃO,Escadinhas,1100-511,Lisboa,Lisboa,Coastal Area
TRAVESSA CASAL DO PIOLHO,Caminho,2655-481,Ericeira,Mafra,Coastal Area
BECO RAMOS 10 AGUAS FURT,Beco,1100-425,Lisboa,Lisboa,Coastal Area
RUA FERNANDES DA FONSECA,Rua,1100-238,Lisboa,Lisboa,Coastal Area
CAMPO MÁRTIRES DA PÁTRIA,Campo,1150-228,Lisboa,Lisboa,Coastal Area
1ª RUA ANDRÉ ALBUQUERQUE,Rua,2710-529,Sintra,Sintra,Coastal Area
RUA MALANGE 281 R/C ESQ.,Rua,2775-238,Parede,Cascais,Coastal Area
RUA DOM AFONSO HENRIQUES,Rua,2765-571,Estoril,Cascais,Coastal Area
1ª RUA SENHORA DA GLORIA,Rua,1170-349,Lisboa,Lisboa,Coastal Area
RUA PADRE ANTÓNIO VIEIRA,Rua,1070-197,Lisboa,Lisboa,Coastal Area
RUA QUINTA DAS PALMEIRAS,Rua,2780-154,Oeiras,Oeiras,Coastal Area
TRAVESSA TEIXEIRA JÚNIOR,Travessa,1300-553,Lisboa,Lisboa,Coastal Area
1ª RUA DA PORTA VERMELHA,Estrada,2640-300,Igreja Nova,Mafra,Coastal Area
RUA PEDRO ÁLVARES CABRAL,Rua,2775-615,Junqueiro,Cascais,Coastal Area
CALÇADA DE SÃO FRANCISCO,Calçada,1200-412,Lisboa,Lisboa,Coastal Area
RUA PEDRO ALVARES CABRAL,Rua,2775-615,Junqueiro,Cascais,Coastal Area
BECO HOSPITAL DA MARINHA,Beco,1100-276,Lisboa,Lisboa,Coastal Area
RUA ÁLAMOS COSTA DA GUIA,Rua,2750-609,Cascais,Cascais,Coastal Area
RUA ALECRIM 26L ESQUERDO,Rua,1200-018,Lisboa,Lisboa,Coastal Area
TRAVESSA DOS INGLESINHOS,Travessa,1200-010,Lisboa,Lisboa,Coastal Area
RUA ACTOR CHABY PINHEIRO,Rua,2795-060,Linda a Velha,Oeiras,Coastal Area
RUA MARQUES LEAL PANCADA,Rua,2750-430,Cascais,Cascais,Coastal Area
RUA DA OLIVEIRA AO CARMO,Escadinhas,1200-306,Lisboa,Lisboa,Coastal Area
AVENIDA ALMIRANTE REIS 6,Avenida,1150-017,Lisboa,Lisboa,Coastal Area
RUA PEDRO ÁLVARES CABRAL,Rua,2685-229,Portela,Loures,Coastal Area
RUA MADALENA 66 3º ESQ.º,Rua,1100-321,Lisboa,Lisboa,Coastal Area
RUA TEIXEIRA DE AGUILLAR,Rua,2775-289,Parede,Cascais,Coastal Area
RUA DOUTOR ALMADA GUERRA,Rua,2710-417,Sintra,Sintra,Coastal Area
ESTRADA RIBEIRA DE JANAS,Rua,2710-001,Linhó,Sintra,Coastal Area
RUA DOUTOR JOSÉ CARVALHO,Rua,2530-151,Lourinhã,Lourinhã,Coastal Area
RUA DOUTOR TEÓFILO BRAGA,Rua,1200-654,Lisboa,Lisboa,Coastal Area
RUA RODRIGUES DE FREITAS,Rua,2730-157,Barcarena,Oeiras,Coastal Area
CALÇADA DE CASTELO PICÃO,Calçada,1200-629,Lisboa,Lisboa,Coastal Area
CALÇADA DO CASTELO PICÃO,Calçada,1200-629,Lisboa,Lisboa,Coastal Area
TRAVESSA DA RUA DO NORTE,Travessa,2655-356,Ericeira,Mafra,Coastal Area
ESTRADA PORTO DAS BARCAS,Estrada,2530-015,Atalaia,Lourinhã,Coastal Area
RUA NOSSA SENHORA FÁTIMA,,2530-077,Casal da Murta,Lourinhã,Coastal Area
TRAVESSA PRAÇA SÃO PAULO,Praça,1200-425,Lisboa,Lisboa,Coastal Area
RUA DOM JOSÉ DE BRAGANÇA,Rua,1900-197,Lisboa,Lisboa,Coastal Area
RUA VISCONDE MONSERRATTE,Escadinhas,2710-591,São Pedro,Sintra,Coastal Area
TRAVESSA OUTEIRO DA VELA,Travessa,2750-456,Cascais,Cascais,Coastal Area
RUA MARECHAL COSTA GOMES,Rua,2685-892,Sacavém,Loures,Coastal Area
TRAVESSA DA RIBEIRA NOVA,Travessa,1200-377,Lisboa,Lisboa,Coastal Area
TRAVESSA TENENTE VALADIM,Travessa,2750-501,Cascais,Cascais,Coastal Area
RUA BARTOLOMEU DE GUSMÃO,Rua,1100-078,Lisboa,Lisboa,Coastal Area
RUA JOSÉ CARVALHO ARAÚJO,Rua,2750-396,Cascais,Cascais,Coastal Area
RUA VALE DE SÃO MARTINHO,Rua,2710-402,Sintra,Sintra,Coastal Area
RUA REMÉDIOS 153 DIREITO,Escadinhas,1100-440,Lisboa,Lisboa,Coastal Area
RUA OLIVAL 116 R/C PORTA,Rua,1200-743,Lisboa,Lisboa,Coastal Area
LARGO CONDES DA ERICEIRA,Largo,2655-272,Ericeira,Mafra,Coastal Area
AVENIDA GUERRA JUNQUEIRO,Avenida,1000-166,Lisboa,Lisboa,Coastal Area
RUA FRANCISCO DE ANDRADE,Rua,1700-197,Lisboa,Lisboa,Coastal Area
RUA BARROCA 94 3 DIREITO,Rua,1200-051,Lisboa,Lisboa,Coastal Area
RUA DE OLIVEIRA AO CARMO,Rua,1200-307,Lisboa,Lisboa,Coastal Area
TRAVESSA SANTO ILDEFONSO,Travessa,1200-807,Lisboa,Lisboa,Coastal Area
RUA MADRES 11-15 R/C DTO,Rua,1200-709,Lisboa,Lisboa,Coastal Area
RUA AV. S. JORGE DA MINA,Rua,2720-415,Amadora,Amadora,Coastal Area
RUA GENERAL SILVA FREIRE,Rua,1800-208,Lisboa,Lisboa,Coastal Area
AVENIDA INFANTE SANTO 32,Rua,1300-179,Lisboa,Lisboa,Coastal Area
CALÇADA DESTERRO 11D-13B,Pátio,1150-125,Lisboa,Lisboa,Coastal Area
TRAVESSA FREIRAS ARROIOS,Travessa,1000-161,Lisboa,Lisboa,Coastal Area
RUA CAETANOS 22-22A PISO,Rua,1200-078,Lisboa,Lisboa,Coastal Area
RUA JOSÉ ANTÓNIO NARCISO,Rua,2745-138,Queluz,Sintra,Not Coastal Area
PRAÇA RESTAURADORES 53 A,Praça,1250-187,Lisboa,Lisboa,Coastal Area
RUA JOAQUIM ROCHA CABRAL,Rua,1600-086,Lisboa,Lisboa,Coastal Area
RUA PRAIA DO BOM SUCESSO,Rua,1400-035,Lisboa,Lisboa,Coastal Area
RUA RODRIGUES SAMPAIO Nº,Rua,1150-280,Lisboa,Lisboa,Coastal Area
RUA VERÓNICA 160 4º ESQº,Rua,1170-387,Lisboa,Lisboa,Coastal Area
1ª RUA RODRIGUES SAMPAIO,Rua,1150-280,Lisboa,Lisboa,Coastal Area
RUA PEDRO GOMES DA SILVA,Rua,2710-607,Sintra,Sintra,Coastal Area
PRAÇA NAVEGANTES 2 - ALA,Praça,2655-320,Ericeira,Mafra,Coastal Area
RUA GOMES FREIRE NÚMEROS,Rua,1150-177,Lisboa,Lisboa,Coastal Area
ESCADINHAS FONTE DA PIPA,Escadinhas,2710-557,Sintra,Sintra,Coastal Area
RUA SÃO GENS 12 R/C DTO.,Rua,1170-338,Lisboa,Lisboa,Coastal Area
AVENIDA MARECHAL CARMONA,Avenida,2750-312,Cascais,Cascais,Coastal Area
RUA INFANTE DOM HENRIQUE,Rua,2560-491,Santa Cruz,Torres Vedras,Coastal Area
RUA MADALENA 112 4º DRTº,Rua,1100-319,Lisboa,Lisboa,Coastal Area
RUA MADALENA 112 3º DRTº,Rua,1100-319,Lisboa,Lisboa,Coastal Area
RUA SANTIAGO DE CARVALHO,Rua,1800-049,Lisboa,Lisboa,Coastal Area
RUA MARIA 53 RC PORTEIRA,Rua,1170-208,Lisboa,Lisboa,Coastal Area
RUA VALE FORMOSO DE CIMA,Rua,1950-267,Lisboa,Lisboa,Coastal Area
PRAÇA RESTAURADORES 53 D,Praça,1250-188,Lisboa,Lisboa,Coastal Area
RUA SÃO FRANCISCO XAVIER,Rua,2725-445,Mem Martins,Sintra,Not Coastal Area
RUA ALEMANHA 266 R/C DTº,Rua,2775-397,Carcavelos,Cascais,Coastal Area
RUA MESTRE NUNO OLIVEIRA,,2665-402,Avessada,Mafra,Not Coastal Area
RUELA RUA DA OLIVEIRINHA,Rua,1100-383,Lisboa,Lisboa,Coastal Area
PRAÇA ANICETO DO ROSÁRIO,Praça,1170-023,Lisboa,Lisboa,Coastal Area
RUA FRADESSO DA SILVEIRA,Rua,1300-260,Lisboa,Lisboa,Coastal Area
RUA MÁRIO DE SÁ CARNEIRO,Rua,2755-212,Murches,Cascais,Coastal Area
PRACETA AQUILINO RIBEIRO,Praceta,2765-466,Areias,Cascais,Coastal Area
RUA BENFORMOSO 2º FRENTE,Rua,1100-084,Lisboa,Lisboa,Coastal Area
LARGO DE SANTO ANTONINHO,Largo,1200-406,Lisboa,Lisboa,Coastal Area
RUA NOSSA SENHORA FÁTIMA,Rua,2750-081,Areia,Cascais,Coastal Area
LARGO LEONOR FARIA GOMES,Largo,2770-108,Paço de Arcos,Oeiras,Coastal Area
RUA QUINTA DA FONTE NOVA,Rua,2760-186,Caxias,Oeiras,Coastal Area
TRAVESSA TEIXEIRA JÚNIOR,Travessa,1349-062,Lisboa,Lisboa,Coastal Area
AVENIDA SÃO JOÃO DE DEUS,Avenida,1000-277,Lisboa,Lisboa,Coastal Area
RUA FERNANDO LOPES GRAÇA,Rua,2725-540,Mercês,Sintra,Not Coastal Area
TRAVESSA VISCONDE DA LUZ,Travessa,2750-413,Cascais,Cascais,Coastal Area
RUA BARTOLOMEU DIAS LOTE,Rua,2560-472,Santa Cruz,Torres Vedras,Coastal Area
AVENIDA PÁDUA 3.ED1.BL.B,Avenida,1800-294,Lisboa,Lisboa,Coastal Area
RUA BARTOLOMEU DE GUSMÃO,Rua,2780-091,Oeiras,Oeiras,Coastal Area
RUA LUSÍADAS 4 2 DIREITO,Rua,1300-370,Lisboa,Lisboa,Coastal Area
RUA ANTÓNIO LOBO ANTUNES,Rua,2755-338,Murches,Cascais,Coastal Area
TRAVESSA GUARDA-JÓIAS 14,Travessa,1300-297,Lisboa,Lisboa,Coastal Area
RUA PADARIA 8 4 ESQUERDO,Rua,1100-389,Lisboa,Lisboa,Coastal Area
RUA REPÚBLICA DA BOLÍVIA,Rua,1500-547,Lisboa,Lisboa,Coastal Area
RUA CONSTANÇA CAPDEVILLE,Rua,2760-194,Caxias,Oeiras,Coastal Area
PRACETA MARQUESA CADAVAL,Praceta,2765-396,Monte Estoril,Cascais,Coastal Area
RUA HELENA VAZ DA SILVA,Rua,1750-106,Lisboa,Lisboa,Coastal Area
RUA SÃO FRANCISCO BORJA,Rua,1200-842,Lisboa,Lisboa,Coastal Area
RUA TOMÁS DA ANUNCIAÇÃO,Rua,1350-324,Lisboa,Lisboa,Coastal Area
PRAÇA DOS RESTAURADORES,Praça,1250-187,Lisboa,Lisboa,Coastal Area
RUA CARLOS VIEIRA RAMOS,Rua,2770-028,Paço de Arcos,Oeiras,Coastal Area
RUA FARINHAS 43-43A APT,Rua,1100-236,Lisboa,Lisboa,Coastal Area
RUA DOM JERÓNIMO OSÓRIO,Rua,1400-121,Lisboa,Lisboa,Coastal Area
RUA AUGUSTO JOSÉ VIEIRA,Rua,1170-034,Lisboa,Lisboa,Coastal Area
3ª RUA COSTA DO CASTELO,,1100-177,Lisboa,Lisboa,Coastal Area
1ª RUA COSTA DO CASTELO,,1100-177,Lisboa,Lisboa,Coastal Area
RUA SÃO GENS VILA MARIA,Rua,1170-337,Lisboa,Lisboa,Coastal Area
AVENIDA MIGUEL BOMBARDA,Avenida,1050-165,Lisboa,Lisboa,Coastal Area
TRAVESSA DONA ESTEFÂNIA,Travessa,1150-135,Lisboa,Lisboa,Coastal Area
RUA ALEXANDRE HERCULANO,Rua,2750-284,Cascais,Cascais,Coastal Area
RUA ATALAIA 225 3º ESQ.,Rua,1200-040,Lisboa,Lisboa,Coastal Area
TRAVESSA OLIVAL À GRAÇA,Travessa,1170-279,Lisboa,Lisboa,Coastal Area
TRAVESSA SENHORA GLÓRIA,Travessa,1170-357,Lisboa,Lisboa,Coastal Area
TRAVESSA MONTE DO CARMO,Travessa,1200-277,Lisboa,Lisboa,Coastal Area
RUA CABO JOAQUIM REBELO,Rua,2750-394,Cascais,Cascais,Coastal Area
TRAVESSA DO TERREIRINHO,Rua,1100-596,Lisboa,Lisboa,Coastal Area
1ª CANADA RUA DO CARDAL,Rua,1150-090,Lisboa,Lisboa,Coastal Area
AVENIDA GENERAL ROÇADAS,Avenida,1170-156,Lisboa,Lisboa,Coastal Area
RUA BRINCOS DE PRINCESA,Travessa,2710-683,Abrunheira,Sintra,Coastal Area
AVENIDA FERNANDO PESSOA,Rua,1900-101,Lisboa,Lisboa,Coastal Area
RUA ANTIGO FORNO DA CAL,Rua,2580-233,Olhalvo,Alenquer,Not Coastal Area
RUA NOVA DOS MERCADORES,Rua,1990-179,Lisboa,Lisboa,Coastal Area
RUA DR RODRIGO DE SOUSA,Rua,1300-210,Lisboa,Lisboa,Coastal Area
RUA POSSIDÓNIO DA SILVA,Rua,1350-246,Lisboa,Lisboa,Coastal Area
1ª RUA MARCOS MARREIROS,Rua,1200-254,Lisboa,Lisboa,Coastal Area
AVENIDA JOÃO CRISÓSTOMO,Avenida,1000-179,Lisboa,Lisboa,Coastal Area
RUA HERMENEGILDO CAPELO,Rua,2775-098,Murtal,Cascais,Coastal Area
AVENIDA VISCONDE VALMOR,Avenida,1000-292,Lisboa,Lisboa,Coastal Area
RUA DOUTORA IRACY DOYLE,Rua,2750-377,Cascais,Cascais,Coastal Area
1ª RUA MANUEL BERNARDES,Rua,1200-250,Lisboa,Lisboa,Coastal Area
AVENIDA VISCONDE VALMOR,Avenida,1050-237,Lisboa,Lisboa,Coastal Area
PRAÇA SÓCRATES DA COSTA,Praça,1900-416,Lisboa,Lisboa,Coastal Area
RUA FIGUEIRA DO GUINCHO,Rua,2645-001,Manique,Cascais,Coastal Area
RUA SARAIVA DE CARVALHO,Rua,1250-245,Lisboa,Lisboa,Coastal Area
RUA DETRÁS DOS QUINTAIS,Rua,2640-473,Mafra,Mafra,Coastal Area
1ª TRAVESSA DA AMOREIRA,Travessa,1350-333,Lisboa,Lisboa,Coastal Area
RUA ANTÓNIO LUÍS INÁCIO,Rua,1900-071,Lisboa,Lisboa,Coastal Area
LARGO DO TERREIRO TRIGO,Rua,1100-009,Lisboa,Lisboa,Coastal Area
RUA OLIVENÇA EDIFICIO 1,Rua,2765-262,Estoril,Cascais,Coastal Area
RUA VISCONDE MONSERRATE,Escadinhas,2710-591,São Pedro,Sintra,Coastal Area
RUA NORTE 93 4 ESQUERDO,Rua,1200-284,Lisboa,Lisboa,Coastal Area
RUA BRANCA GONTA COLAÇO,Rua,1700-061,Lisboa,Lisboa,Coastal Area
RUA CÂNDIDO DE OLIVEIRA,Rua,1800-047,Lisboa,Lisboa,Coastal Area
ESTRADA PRAIA DOS COXOS,Rua,2640-027,Ribamar,Mafra,Coastal Area
RUA FERNÃO DE MAGALHÃES,Rua,2705-308,Praia das Maçãs,Sintra,Coastal Area
RUA ANDRADE-VILA BASTOS,Rua,1170-015,Lisboa,Lisboa,Coastal Area
ESTRADA CHÃO DE MENINOS,Estrada,2710-196,Sintra,Sintra,Coastal Area
2ª TRAVESSA DOS ISABÉIS,Travessa,1200-689,Lisboa,Lisboa,Coastal Area
AVENIDA GENERAL CARMONA,Avenida,2765-207,Estoril,Cascais,Coastal Area
TRAVESSA DAS MERCEEIRAS,Travessa,1100-348,Lisboa,Lisboa,Coastal Area
TRAVESSA FORTE DA AREIA,Travessa,1400-159,Lisboa,Lisboa,Coastal Area
RUA CAPELA 1 R/C - F AP,Rua,2640-254,Encarnação,Mafra,Coastal Area
PRACETA DO VALE JANEIRO,Rua,2655-430,Ericeira,Mafra,Coastal Area
AVENIDA SACADURA CABRAL,Avenida,1000-272,Lisboa,Lisboa,Coastal Area
RUA CABEÇO MARINHO CASA,Rua,2755-157,Malveira da Serra,Cascais,Coastal Area
1ª RUA ESTRADA SALGADOS,Estrada,2650-432,Amadora,Amadora,Coastal Area
RUA CAPITÃO AFONSO PALA,Rua,1350-063,Lisboa,Lisboa,Coastal Area
RUA CHAFARIZ DA PORTELA,Rua,2755-165,Malveira da Serra,Cascais,Coastal Area
AVENIDA JOSÉ VIANA LOTE,Rua,2710-731,Albarraque,Sintra,Coastal Area
TRAVESSA CONDESSA RIO 3,Travessa,1200-123,Lisboa,Lisboa,Coastal Area
TRAVESSA DE SÃO PLÁCIDO,Travessa,1200-853,Lisboa,Lisboa,Coastal Area
PRACETA OUTEIRO DA VELA,Praceta,2750-455,Cascais,Cascais,Coastal Area
RUA CONCEIÇÃO DA GLÓRIA,Rua,1250-079,Lisboa,Lisboa,Coastal Area
RUA SÃO JOÃO NEPOMUCENO,Rua,1250-233,Lisboa,Lisboa,Coastal Area
RUA VIVEIRO 402 3º ESQ.,Rua,2765-294,Monte Estoril,Cascais,Coastal Area
RUA JÚLIO DINIS FIRMINO,Rua,2705-269,Penedo,Sintra,Coastal Area
RUA JOÃO ANTÓNIO GASPAR,Rua,2750-380,Cascais,Cascais,Coastal Area
RUA SOL AO RATO - PÁTEO,Rua,1250-261,Lisboa,Lisboa,Coastal Area
CALÇADA POÇO DOS MOUROS,Calçada,1170-318,Lisboa,Lisboa,Coastal Area
RUA MAJOR CALDAS XAVIER,Rua,2675-310,Odivelas,Odivelas,Coastal Area
RUA DOUTOR JOSÉ SARAIVA,Rua,1800-183,Lisboa,Lisboa,Coastal Area
AVENIDA JOÃO CRISÓSTOMO,Avenida,1069-040,Lisboa,Lisboa,Coastal Area
1ª RUA COSTA DO CASTELO,,1149-079,Lisboa,Lisboa,Coastal Area
RUA DOS BACALHOEIROS 99,Rua,1100-068,Lisboa,Lisboa,Coastal Area
RUA JOSÉ LÚCIO DA SILVA,Rua,2655-299,Ericeira,Mafra,Coastal Area
RUA PINHEIRO 2 APART. C,Rua,2765-439,Monte Estoril,Cascais,Coastal Area
RUA SÃO FRANCISCO SALES,Rua,1250-230,Lisboa,Lisboa,Coastal Area
RUA POIAIS DE SÃO BENTO,Rua,1200-348,Lisboa,Lisboa,Coastal Area
TRAVESSA SÃO BERNARDINO,Travessa,1150-318,Lisboa,Lisboa,Coastal Area
AVENIDA VISCONDE VALMOR,Avenida,1049-061,Lisboa,Lisboa,Coastal Area
TRAVESSA ESPÍRITO SANTO,Travessa,2655-275,Ericeira,Mafra,Coastal Area
RUA ALBERTO DE OLIVEIRA,Rua,1700-019,Lisboa,Lisboa,Coastal Area
AVENIDA PEREGRINAÇÃO LT,Avenida,1990-384,Lisboa,Lisboa,Coastal Area
RUA ALEXANDRE HERCULANO,Rua,1150-005,Lisboa,Lisboa,Coastal Area
RUA FERNÃO DE MAGALHÃES,Rua,1170-124,Lisboa,Lisboa,Coastal Area
RUA JOSÉ CUNHA BROCHADO,Rua,2750-397,Cascais,Cascais,Coastal Area
ESTRADA LUGAR DO TAGNAL,Estrada Nacional,2050-402,Vale do Paraiso,Azambuja,Not Coastal Area
CALÇADA MOINHO DE VENTO,Calçada,1150-236,Lisboa,Lisboa,Coastal Area
RUA ESPERANÇA DO CARDAL,Rua,1150-147,Lisboa,Lisboa,Coastal Area
RUA SARAIVA DE CARVALHO,Rua,1269-097,Lisboa,Lisboa,Coastal Area
TRAVESSA DE SANTA LUZIA,Largo,1100-487,Lisboa,Lisboa,Coastal Area
CALÇADA NOVA DO COLÉGIO,Calçada,1150-238,Lisboa,Lisboa,Coastal Area
ESTRADA VELHA DO BOIÇÃO,,2670-632,Boição,Loures,Not Coastal Area
AVENIDA COLÉGIO MILITAR,Avenida,1500-185,Lisboa,Lisboa,Coastal Area
RUA OLIVAL 126 3 ESQUER,Rua,1200-743,Lisboa,Lisboa,Coastal Area
RUA POIAIS DE SAO BENTO,Rua,1200-137,Lisboa,Lisboa,Coastal Area
RUA FURRIEL JOÃO VIEIRA,Rua,2750-627,Cascais,Cascais,Coastal Area
RUA CIDADE SÃO SALVADOR,Rua,2735-652,São Marcos,Sintra,Coastal Area
BECO CADOIÇOS CASA STAR,Beco,2655-049,Carvoeira,Mafra,Coastal Area
AVENIDA JOÃO CRISÓSTOMO,Avenida,1050-128,Lisboa,Lisboa,Coastal Area
1ª RUA DO ARCO DA GRAÇA,Rua,1150-049,Lisboa,Lisboa,Coastal Area
RUA FERREIROS À ESTRELA,Rua,1200-672,Lisboa,Lisboa,Coastal Area
RUA SÃO DOMINGOS À LAPA,Rua,1200-835,Lisboa,Lisboa,Coastal Area
TRAVESSA AFONSO SANCHES,Travessa,2750-283,Cascais,Cascais,Coastal Area
3ª RUA ERNESTO DA SILVA,Rua,1495-056,Algés,Oeiras,Coastal Area
TRAVESSA CRUZ AOS ANJOS,Travessa,1100-186,Lisboa,Lisboa,Coastal Area
