fk,listings_id
0,12194911
1,40962519
2,39414401
3,16883483
4,12978864
5,26211093
5,1343161
6,26625353
7,19448129
7,31914347
7,22788608
7,16387037
7,929343
8,24840785
8,24076440
8,2376706
8,2376703
8,29799059
8,29769561
8,29768828
8,29769435
8,29798944
8,29795171
8,26095107
8,32286813
8,41553852
8,27193783
8,22408415
8,22258807
8,19784431
8,13347187
8,13078822
8,11628713
8,6085597
8,30140714
8,3691125
8,5156376
8,6021991
8,14119621
8,30140715
8,26055658
8,17568523
8,13120752
8,16120324
8,31204596
8,31204034
8,31945527
8,3547201
8,22758900
8,17237652
8,13021853
8,26907609
8,34963964
8,26933889
8,6010016
8,5758143
8,1556071
8,13744951
8,217187
8,500840
8,4216147
8,15049602
8,8238644
8,13724896
9,12531420
10,25119010
10,25178883
10,24967855
10,26057350
10,24944252
10,24924840
10,24968139
11,29035994
12,15400722
13,14814427
13,36170584
14,22829240
14,18499254
14,19920670
14,19920187
14,26595565
14,41323743
14,41065350
14,38799942
14,22978307
14,7726406
14,12971654
14,24346831
14,24813121
14,28820680
14,31874845
14,33137806
14,15876871
14,15878041
14,19244526
14,1368336
14,40526964
14,40529615
14,28603115
14,30947654
14,33030619
14,28681590
14,28484655
14,27538170
14,27081269
14,27057043
14,23875071
14,24151051
14,24236876
14,26728988
14,37081784
14,40578254
14,41076623
15,39030889
15,17512484
15,33413227
15,37621550
16,39865808
16,39867011
16,39700755
16,17999947
16,11904154
16,26832585
16,18343045
16,26710990
16,33105549
16,2570271
17,23263369
17,21035316
17,6573451
17,6512808
17,7066882
17,12605334
17,15926750
17,16773318
17,6513216
17,18013816
17,16971547
17,5240595
17,22448600
18,31557952
18,30265304
18,12373439
18,12142380
18,12142108
18,12098264
18,36268526
18,35288072
18,32982733
18,27655593
18,24730772
19,33984352
20,21452999
21,40084560
21,41232914
21,41229411
22,18926534
22,13895981
22,18745187
22,18895564
22,17713591
23,40698553
23,25210997
23,22783096
24,23123492
24,20284471
24,20871866
24,22218278
24,24796450
24,25274384
24,26151575
24,27250364
24,27678768
24,30368275
24,31949613
24,32244224
24,34742772
24,37326662
24,39201847
24,25982443
24,950695
24,36543754
24,28602026
24,13640377
24,12866957
24,1701590
24,25841737
24,23910031
24,18850880
25,40076945
25,20345350
25,25850039
25,31822921
26,34706958
27,17645433
28,2676889
28,11293056
28,5019386
29,28071624
29,10256952
29,13562062
29,2676365
29,942922
29,11696650
29,22810433
29,12449686
29,12318178
29,12266069
29,12002439
29,16037005
29,10129919
29,5454422
29,5453554
29,40244081
29,851559
29,23127845
29,28535390
29,28947862
29,5465996
29,30935519
29,30937014
29,32068642
29,16910953
29,19017834
29,26221774
29,32072621
29,32073742
29,32073188
29,27980164
29,13925104
29,30935191
29,27987667
29,32070302
29,27933313
29,32072151
29,31527582
29,34962208
29,34962920
29,34963442
29,19548874
29,4895966
29,41129882
29,3861604
29,2150306
29,41591699
29,991370
29,945691
30,24395718
30,39133225
30,24408201
31,23199304
32,36796186
33,33938944
34,18547700
35,10401552
36,37253391
37,14648710
38,39911573
38,33242427
38,38615575
38,38616015
38,38616203
38,32659067
38,32297564
38,13839064
38,27202811
38,36349344
38,17150589
38,25801960
38,29303000
38,31834933
38,18802234
38,18786451
38,37437196
38,35677096
38,29149675
39,31081626
39,11058290
39,12286915
39,18306542
39,11808782
39,12245568
39,13231767
39,19100313
39,27183472
39,17005602
39,30757419
39,12807689
39,8734057
39,38921972
39,5246064
39,38991764
39,38146264
39,7899138
39,3504748
39,6077849
39,6078171
39,15818638
39,17821568
39,17826963
39,23818614
39,24450954
39,37003524
39,37317852
39,38143538
39,38145629
39,38146053
39,38146148
40,17103541
40,40221087
40,33606655
40,32868646
40,32133324
40,39684767
40,26947149
40,20604735
40,18388310
40,11548108
40,25030199
40,8647293
