,listing_id,date_id
0,286500,14022020
1,69042,14022020
2,69042,15022020
3,69042,16022020
4,69042,17022020
5,69042,18022020
6,69042,19022020
7,69042,20022020
8,69042,21022020
9,69042,22022020
10,69042,23022020
11,69042,24022020
12,69042,25022020
13,69042,26022020
14,69042,27022020
15,69042,28022020
16,69042,29022020
17,69042,1032020
18,69042,2032020
19,69042,3032020
20,69042,4032020
21,69042,5032020
22,69042,6032020
23,69042,7032020
24,69042,8032020
25,69042,9032020
26,69042,10032020
27,69042,11032020
28,69042,12032020
29,69042,13032020
30,69042,14032020
31,69042,15032020
32,69042,16032020
33,69042,17032020
34,69042,18032020
35,69042,19032020
36,69042,20032020
37,69042,21032020
38,69042,22032020
39,69042,23032020
40,69042,24032020
41,69042,25032020
42,69042,26032020
43,69042,27032020
44,69042,28032020
45,69042,29032020
46,69042,30032020
47,69042,31032020
48,69042,1042020
49,69042,2042020
50,69042,3042020
51,69042,4042020
52,69042,5042020
53,69042,6042020
54,69042,7042020
55,69042,8042020
56,69042,9042020
57,69042,10042020
58,69042,11042020
59,69042,12042020
60,69042,13042020
61,69042,14042020
62,69042,15042020
63,69042,16042020
64,69042,17042020
65,69042,18042020
66,69042,19042020
67,69042,20042020
68,69042,21042020
69,69042,22042020
70,69042,23042020
71,69042,24042020
72,69042,25042020
73,69042,26042020
74,69042,27042020
75,69042,28042020
76,69042,29042020
77,69042,30042020
78,69042,1052020
79,69042,2052020
80,69042,3052020
81,69042,4052020
82,69042,5052020
83,69042,6052020
84,69042,7052020
85,69042,8052020
86,69042,9052020
87,69042,10052020
88,69042,11052020
89,69042,12052020
90,69042,13052020
91,69042,14052020
92,69042,15052020
93,69042,16052020
94,69042,17052020
95,69042,18052020
96,69042,19052020
97,69042,20052020
98,69042,21052020
99,69042,22052020
100,69042,23052020
101,69042,24052020
102,69042,25052020
103,69042,26052020
104,69042,27052020
105,69042,28052020
106,69042,29052020
107,69042,30052020
108,69042,31052020
109,69042,1062020
110,69042,2062020
111,69042,3062020
112,69042,4062020
113,69042,5062020
114,69042,6062020
115,69042,7062020
116,69042,8062020
117,69042,9062020
118,69042,10062020
119,69042,11062020
120,69042,12062020
121,69042,13062020
122,69042,14062020
123,69042,15062020
124,69042,16062020
125,69042,17062020
126,69042,18062020
127,69042,19062020
128,69042,20062020
129,69042,21062020
130,69042,22062020
131,69042,23062020
132,69042,24062020
133,69042,25062020
134,69042,26062020
135,69042,27062020
136,69042,28062020
137,69042,29062020
138,69042,30062020
139,69042,1072020
140,69042,2072020
141,69042,3072020
142,69042,4072020
143,69042,5072020
144,69042,6072020
145,69042,7072020
146,69042,8072020
147,69042,9072020
148,69042,10072020
149,69042,11072020
150,69042,12072020
151,69042,13072020
152,69042,14072020
153,69042,15072020
154,69042,16072020
155,69042,17072020
156,69042,18072020
157,69042,19072020
158,69042,20072020
159,69042,21072020
160,69042,22072020
161,69042,23072020
162,69042,24072020
163,69042,25072020
164,69042,26072020
165,69042,27072020
166,69042,28072020
167,69042,29072020
168,69042,30072020
169,69042,31072020
170,69042,1082020
171,69042,2082020
172,69042,3082020
173,69042,4082020
174,69042,5082020
175,69042,6082020
176,69042,7082020
177,69042,8082020
178,69042,9082020
179,69042,10082020
180,69042,11082020
181,69042,12082020
182,69042,13082020
183,69042,14082020
184,69042,15082020
185,69042,16082020
186,69042,17082020
187,69042,18082020
188,69042,19082020
189,69042,20082020
190,69042,21082020
191,69042,22082020
192,69042,23082020
193,69042,24082020
194,69042,25082020
195,69042,26082020
196,69042,27082020
197,69042,28082020
198,69042,29082020
199,69042,30082020
200,69042,31082020
201,69042,1092020
202,69042,2092020
203,69042,3092020
204,69042,4092020
205,69042,5092020
206,69042,6092020
207,69042,7092020
208,69042,8092020
209,69042,9092020
210,69042,10092020
211,69042,11092020
212,69042,12092020
213,69042,13092020
214,69042,14092020
215,69042,15092020
216,69042,16092020
217,69042,17092020
218,69042,18092020
219,69042,19092020
220,69042,20092020
221,69042,21092020
222,69042,22092020
223,69042,23092020
224,69042,24092020
225,69042,25092020
226,69042,26092020
227,69042,27092020
228,69042,28092020
229,69042,29092020
230,69042,30092020
231,69042,1102020
232,69042,2102020
233,69042,3102020
234,69042,4102020
235,69042,5102020
236,69042,6102020
237,69042,7102020
238,69042,8102020
239,69042,9102020
240,69042,10102020
241,69042,11102020
242,69042,12102020
243,69042,13102020
244,69042,14102020
245,69042,15102020
246,69042,16102020
247,69042,17102020
248,69042,18102020
249,69042,19102020
250,69042,20102020
251,69042,21102020
252,69042,22102020
253,69042,23102020
254,69042,24102020
255,69042,25102020
256,69042,26102020
257,69042,27102020
258,69042,28102020
259,69042,29102020
260,69042,30102020
261,69042,31102020
262,69042,1112020
263,69042,2112020
264,69042,3112020
265,69042,4112020
266,69042,5112020
267,69042,6112020
268,69042,7112020
269,69042,8112020
270,69042,9112020
271,69042,10112020
272,69042,11112020
273,69042,12112020
274,69042,13112020
275,69042,14112020
276,69042,15112020
277,69042,16112020
278,69042,17112020
279,69042,18112020
280,69042,19112020
281,69042,20112020
282,69042,21112020
283,69042,22112020
284,69042,23112020
285,69042,24112020
286,69042,25112020
287,69042,26112020
288,69042,27112020
289,69042,28112020
290,69042,29112020
291,69042,30112020
292,69042,1122020
293,69042,2122020
294,69042,3122020
295,69042,4122020
296,69042,5122020
297,69042,6122020
298,69042,7122020
299,69042,8122020
300,69042,9122020
301,69042,10122020
302,69042,11122020
303,69042,12122020
304,69042,13122020
305,69042,14122020
306,69042,15122020
307,69042,16122020
308,69042,17122020
309,69042,18122020
310,69042,19122020
311,69042,20122020
312,69042,21122020
313,69042,22122020
314,69042,23122020
315,69042,24122020
316,69042,25122020
317,69042,26122020
318,69042,27122020
319,69042,28122020
