,year,parish,count,property_type_category,cp
579210,2017,Palhais,1,House,3130-123
579270,2018,Palhais,1,Hotel/Hostel,3130-123
579330,2016,Paúl,1,Apartment,3730-658
579343,2016,Porto Novo,1,Apartment,3730-301
579351,2018,Porto Novo,2,Apartment,3730-301
579359,2016,Ramalhal,1,House,4550-401
579425,2016,Sabugo,1,House,2715-472
579500,2016,São Pedro,1,Apartment,3780-415
579621,2017,São Pedro,9,Apartment,3780-415
579742,2017,São Pedro,6,House,3780-415
579863,2018,São Pedro,4,Apartment,3780-415
579984,2018,São Pedro,1,Hotel/Hostel,3780-415
580105,2018,São Pedro,4,House,3780-415
580226,2019,São Pedro,2,Apartment,3780-415
580347,2019,São Pedro,2,House,3780-415
580468,2016,Torre,3,Hotel/Hostel,4550-553
580779,2017,Torre,2,House,4550-553
581090,2018,Torre,1,Apartment,4550-553
581401,2018,Torre,1,Guesthouse,4550-553
581712,2018,Torre,3,House,4550-553
582023,2016,Torres Vedras,1,Apartment,2560-375
582826,2017,Torres Vedras,1,Apartment,2560-375
583629,2016,Vermelha,1,House,3280-105
583689,2016,Vila Nova,1,House,4540-55
583815,2018,Vila Nova,1,House,4540-55
583941,2017,Abelheira,1,House,4540-291
583994,2018,Abelheira,1,House,4540-291
584047,2017,Abrunheira,1,Apartment,3300-351
584227,2018,Abrunheira,7,House,3300-351
584407,2017,Achada,3,House,2640-544
584493,2017,Adão Lobo,2,House,2550-101
584494,2017,Algueirão,3,House,2725-40
584963,2018,Algueirão,2,Apartment,2725-40
585432,2018,Algueirão,3,Guesthouse,2725-40
585901,2018,Algueirão,2,House,2725-40
586370,2017,Almeirinhos de Baixo,1,House,2565-778
586371,2017,Alverca do Ribatejo,1,Apartment,2615-187
586858,2019,Alverca do Ribatejo,1,Apartment,2615-187
587345,2017,Azenha Velha,1,House,2560-192
587347,2017,Bairro da Martinha,1,House,2645-536
587361,2017,Barreira,1,Apartment,3770-12
587383,2017,Barril,4,House,2655-20
587467,2018,Barril,1,Apartment,2655-20
587551,2018,Barril,2,House,2655-20
587635,2017,Boavista,1,House,3850-480
587852,2017,Bombardeira,1,Apartment,2560-49
587853,2017,Bombardeira,1,House,2560-49
587854,2017,Cabeça Gorda,1,House,7800-631
587994,2017,Cabriz,1,House,6300-245
588043,2018,Cabriz,2,House,6300-245
588092,2019,Cabriz,1,House,6300-245
