,year,parish,count,property_type_category,cp
526413,2017,Estoril,2,House,2765-190
526583,2018,Estoril,10,Apartment,2765-190
526753,2018,Estoril,4,House,2765-190
526923,2019,Estoril,7,Apartment,2765-190
527093,2019,Estoril,6,Hotel/Hostel,2765-190
527263,2014,São João das Lampas,1,House,2705-737
527340,2015,São João das Lampas,1,House,2705-737
527417,2017,São João das Lampas,1,House,2705-737
527494,2014,São João do Estoril,1,Apartment,2765-461
527578,2015,São João do Estoril,5,Apartment,2765-461
527662,2015,São João do Estoril,3,House,2765-461
527746,2016,São João do Estoril,3,Apartment,2765-461
527830,2017,São João do Estoril,11,Apartment,2765-461
527914,2017,São João do Estoril,1,Guesthouse,2765-461
527998,2017,São João do Estoril,1,House,2765-461
528082,2018,São João do Estoril,5,Apartment,2765-461
528166,2018,São João do Estoril,12,House,2765-461
