,year,parish,count,cp
245901,2018,Abrunheira,7,3300-351
246081,2017,Achada,3,2640-544
246167,2017,Bairro da Martinha,1,2645-536
246181,2017,Adão Lobo,2,2550-101
246182,2017,Lapa da Serra,1,2655-116
246197,2017,São Marcos,1,3850-240
246285,2019,São Marcos,1,3850-240
246373,2017,Lombos,2,8400-411
246415,2018,Lombos,4,8400-411
246457,2019,Lombos,8,8400-411
246499,2017,Casal Marcelino,2,2565-589
246500,2017,Camarate,1,8670-416
247012,2017,Codiceira,1,6100-637
247015,2017,Várzea de Sintra,1,2710-664
247091,2018,Várzea de Sintra,4,2710-664
247167,2019,Várzea de Sintra,1,2710-664
247243,2017,Laveiras,1,2760-9
247323,2019,Laveiras,3,2760-9
247403,2017,Barreira,1,3770-12
247425,2017,Algueirão,3,2725-40
247894,2018,Algueirão,7,2725-40
248363,2017,Bombardeira,2,2560-49
248364,2017,Casal Casica,1,2560-46
248365,2017,Soupo,1,2580-157
248366,2017,Prior Velho,1,2685-384
248538,2017,Sobral de Monte Agraço,1,2590-54
248703,2017,Charneca,5,4550-362
248797,2019,Charneca,3,4550-362
248891,2017,Casal Arneiro da Vinha,1,2560-57
248892,2017,Lagoa,1,7630-348
249384,2018,Lagoa,1,7630-348
249876,2019,Lagoa,1,7630-348
250368,2017,Zambujal,1,7750-228
250483,2017,Almeirinhos de Baixo,1,2565-778
250484,2017,Santo Isidoro,1,2640-48
250636,2018,Santo Isidoro,3,2640-48
250788,2019,Santo Isidoro,1,2640-48
250940,2017,Porto Salvo,1,2740-315
251181,2018,Porto Salvo,1,2740-315
251422,2017,Sacavém,6,2685-14
251660,2018,Sacavém,2,2685-14
251898,2017,Boavista,1,3850-480
252115,2017,Cabriz,1,6300-245
252164,2018,Cabriz,2,6300-245
252213,2019,Cabriz,1,6300-245
252262,2017,Sobrena,1,2550-458
252263,2017,Lousa,1,3750-22
252544,2019,Lousa,1,3750-22
252825,2017,Eugaria,1,2705-200
252836,2017,Olhalvo,1,2580-233
252879,2017,Rinchoa,1,2635-593
253024,2018,Rinchoa,1,2635-593
253169,2017,Rio de Mouro,4,2635-177
253445,2018,Rio de Mouro,1,2635-177
253721,2019,Rio de Mouro,2,2635-177
253997,2017,Janas,6,2710-285
254071,2018,Janas,3,2710-285
254145,2019,Janas,1,2710-285
254219,2017,Póvoa de Santo Adrião,4,2620-139
254360,2019,Póvoa de Santo Adrião,1,2620-139
254501,2017,Toxofal de Cima,1,2530-319
254502,2017,Tagarro,2,2065-201
254562,2017,Cabeça Gorda,1,7800-631
254702,2017,Maxial,1,3320-54
254761,2017,Praia Azul,1,2560-396
254762,2018,Praia Azul,1,2560-396
254763,2017,Abelheira,1,4540-291
254816,2018,Abelheira,1,4540-291
254869,2017,Lourinhã,2,2530-128
255051,2018,Lourinhã,1,2530-128
255233,2019,Lourinhã,1,2530-128
255415,2017,Portela,1,4540-236
255885,2018,Portela,3,4540-236
256355,2019,Portela,1,4540-236
256825,2017,Pragança,1,2550-371
256826,2018,Pragança,1,2550-371
256827,2017,Loures,1,2670-331
257379,2019,Loures,1,2670-331
257931,2017,Barril,4,2655-20
258015,2018,Barril,3,2655-20
258099,2017,Mucifal,5,2705-355
258185,2018,Mucifal,4,2705-355
258271,2019,Mucifal,1,2705-355
258357,2017,Cruz Quebrada,1,1495-709
258414,2018,Cruz Quebrada,2,1495-709
258471,2017,Alverca do Ribatejo,1,2615-187
258958,2019,Alverca do Ribatejo,1,2615-187
259445,2017,Varge Mondar,1,2635-530
259484,2017,Pontinha,2,6160-460
260062,2018,Pontinha,5,6160-460
260640,2017,Estalagem,1,3090-414
260647,2018,Estalagem,1,3090-414
260654,2017,Azenha Velha,1,2560-192
260656,2017,Cesaredas,1,2530-573
260692,2019,Cesaredas,1,2530-573
260728,2017,Valbom,1,7750-54
260994,2018,Manique,1,2645-458
261096,2018,Picanceira,1,2640-71
