municLabel,parishLabel,lon,lat
Castro Daire,Picão,-7.9475,40.94638889
Castro Daire,Picão,-7.9512,40.9495
Armamar,Coura,-7.651111111,41.11555556
Cinfães,Fornelos,-8.20565,41.02684
Armamar,Queimadela,-7.745555555,41.08972222
Lamego,Samodães,-7.82387,41.13901
Cinfães,Q64408,-8.005833333,41.05083333
Cinfães,Souselo,-8.232222222,41.065
Lamego,Penude,-7.848611111,41.07777778
Armamar,Aricera,-7.656111111,41.09861111
Vila Seca e Santo Adrião,Vila Seca,-7.664722222,41.12277778
Castro Daire,Monteiras,-7.8725,40.95166667
Castro Daire,Moledo,-7.870833333,40.82888889
Armamar,Folgosa (Armamar),-7.679444444,41.15166667
"Cepões, Meijinhos e Melcões",Meijinhos,-7.84215,41.04268
"Cepões, Meijinhos e Melcões",Meijinhos,-7.834444444,41.04527778
Carregal do Sal,Papízios,-8.0407,40.43116
Castro Daire,Mões,-7.884722222,40.86472222
Armamar,Fontelo,-7.729444444,41.11972222
Lamego,Britiande,-7.8,41.06666667
Carregal do Sal,Cabanas de Viriato,-7.983333333,40.48333333
Lamego,Cambres,-7.8,41.13333333
Lamego,Avões,-7.844444444,41.11722222
Lamego,Avões,-7.84189,41.11656
Castro Daire,Cabril,-8.102777777,40.95222222
Castro Daire,Pinheiro,-7.986111111,40.94
Castro Daire,Pinheiro,-7.98476,40.94054
Aricera e Goujoim,Goujoim,-7.633611111,41.08833333
Cinfães,Alhões,-8.015,40.98305556
Armamar,Aldeias,-7.711944444,41.11444444
Cinfães,Moimenta,-8.198055555,41.05222222
Lamego (Almacave e Sé),Sé,-7.79425,41.09314
Lamego (Almacave e Sé),Sé,-7.780833333,41.09
Armamar,Tões,-7.7175,41.09722222
Armamar,Tões,-7.71364,41.09738
Armamar,Vacalar,-7.688055555,41.13138889
Lamego,Melcões,-7.82673,41.05284
Lamego,Melcões,-7.825277777,41.04833333
Cinfães,Espadanedo,-8.19904,41.08239
Cinfães,Oliveira do Douro,-8.04993,41.07656
Carregal do Sal,Oliveira do Conde,-7.968888888,40.43944444
Lamego,Pretarouca,-7.896666666,41.0275
Lamego,Vila Nova de Souto d'El-Rei,-7.83332,41.06953
Lamego,Lalim,-7.81666667,41.03333333
Armamar,Santa Cruz,-7.686388888,41.06722222
Lamego,Sande,-7.785833333,41.12416667
Castro Daire,Mamouros,-7.954166666,40.83694444
Carregal do Sal,Parada,-8.047222222,40.40111111
Armamar,Cimbres,-7.700555555,41.04861111
Castro Daire,Pepim,-7.9525,40.8925
Parada de Ester e Ester,Ester,-8.024722222,40.91527778
Castro Daire,Ribolhos,-7.9315,40.88186
Castro Daire,Ribolhos,-7.930277777,40.8825
Castro Daire,São Joaninho (Castro Daire),-7.863055555,40.91472222
Armamar,Santiago,-7.70239,41.07481
Armamar,Santiago,-7.690833333,41.07888889
Castro Daire,Mezio,-7.891944444,40.98416667
Castro Daire,Gosende,-7.906944444,41.00777778
Cinfães,Tarouquela,-8.18626,41.07457
"Mamouros, Alva e Ribolhos",Alva,-7.955975,40.85444722
"Mamouros, Alva e Ribolhos",Alva,-7.96583,40.86141
Castro Daire,Reriz,-7.993888888,40.90388889
Castro Daire,Reriz,-7.98322,40.89503
Cinfães,Santiago de Piães,-8.150833333,41.05722222
Lamego,Penajóia,-7.8527,41.13911
Lamego,Penajóia,-7.853333333,41.14
Lamego,Lazarim,-7.85,41.03333333
Mangualde,Póvoa de Cervães,-7.688333333,40.56138889
Mortágua,Espinho,-8.300277777,40.41666667
"Tavares (Chãs, Várzea e Travanca)",Chãs de Tavares,-7.608611111,40.62166667
Santiago de Cassurrães e Póvoa de Cervães,Santiago de Cassurrães,-7.704722222,40.57888889
Moimenta da Beira,Leomil,-7.653666666,40.98461111
Oliveira de Frades,Ribeiradio,-8.30912,40.72191
Oliveira de Frades,Ribeiradio,-8.302777777,40.73583333
Oliveira de Frades,Varzielas,-8.18565,40.58387
Oliveira de Frades,Varzielas,-8.186388888,40.58972222
Oliveira de Frades,São João da Serra (Oliveira de Frades),-8.2479,40.78086
Oliveira de Frades,São João da Serra (Oliveira de Frades),-8.242222222,40.78166667
Destriz e Reigoso,Destriz,-8.282777777,40.65194444
Moimenta da Beira,"Sever, Moimenta da Beira",-7.699,41.00358
"Oliveira de Frades, Souto de Lafões e Sejães",Sejães,-8.206388888,40.74083333
"Oliveira de Frades, Souto de Lafões e Sejães",Sejães,-8.21503,40.74664
Mangualde,Freixiosa,-7.682222222,40.60861111
Moimenta da Beira,Baldos,-7.562222222,40.99083333
Mangualde,São João da Fresta,-7.5825,40.63666667
Moimenta da Beira,Nagosa,-7.594722222,41.03888889
Mangualde,Travanca de Tavares,-7.62822,40.63126
Sernancelhe,Cunha,-7.450277777,40.83666667
Sernancelhe,Lamosa,-7.620277777,40.88527778
Tabuaço,Santa Leocádia,-7.626944444,41.12666667
Tabuaço,Santa Leocádia,-7.62375,41.12115
Gouviães e Ucanha,Ucanha,-7.748055555,41.04416667
Gouviães e Ucanha,Ucanha,-7.73836,41.04856
Tarouca,Mondim da Beira,-7.746944444,41.01638889
Sátão,Forles,-7.654444444,40.85888889
Granja Nova e Vila Chã da Beira,Granja Nova,-7.721111111,41.03083333
Sátão,Silvã de Cima,-7.6775,40.72416667
São Pedro do Sul,Bordonhos,-8.09353,40.77267
Sátão,Rio de Moinhos (Sátão),-7.699444444,40.70833333
Belmonte e Colmeal da Torre,Caria,-7.364166666,40.29472222
Belmonte e Colmeal da Torre,Caria,-7.34052,40.28634
Sernancelhe,Macieira (Sernancelhe),-7.486388888,40.98972222
Sernancelhe,Macieira (Sernancelhe),-7.48206,40.98672
Tabuaço,Sendim,-7.53368,41.03575
Sernancelhe,Escurquela,-7.520833333,41.00638889
São Pedro do Sul,Santa Cruz da Trapa,-8.146666666,40.76861111
Sátão,Avelal,-7.683333333,40.75305556
Sernancelhe,Quintela,-7.582222222,40.86111111
São Pedro do Sul,Várzea (São Pedro do Sul),-8.091388888,40.74083333
São Pedro do Sul,Várzea (São Pedro do Sul),-8.08242,40.74922
Tabuaço,Paradela,-7.526944444,41.06527778
Tabuaço,Pinheiros,-7.613611111,41.10166667
Tabuaço,Adorigo,-7.606944444,41.14611111
Paradela e Granjinha,Granjinha,-7.52,41.06583333
"Romãs, Decermilo e Vila Longa",Romãs,-7.651111111,40.74416667
São Pedro do Sul,São Félix,-8.051388888,40.78694444
Sátão,São Miguel de Vila Boa,-7.753055555,40.69944444
São Pedro do Sul,Manhouce,-8.213055555,40.82222222
São Pedro do Sul,Manhouce,-8.20734,40.82136
Santa Cruz da Trapa e São Cristóvão de Lafões,São Cristóvão de Lafões,-8.16723,40.76358
Ferreirim e Macieira,Ferreirim (Sernancelhe),-7.498333333,40.94305556
Ferreirim e Macieira,Ferreirim (Sernancelhe),-7.48838,40.95116
Tabuaço,Chavães,-7.566944444,41.08638889
Tarouca,Gouviães,-7.75556,41.05876
Tarouca,Gouviães,-7.749444444,41.05722222
São Pedro do Sul,Sul,-8.04709,40.83498
Sátão,Decermilo,-7.659166666,40.75638889
Penso e Freixinho,Penso,-7.537777777,40.92138889
Carvalhais e Candal,Candal,-8.177222222,40.85388889
Sernancelhe e Sarzeda,Sarzeda,-7.459722222,40.90694444
Sernancelhe,Chosendo,-7.455555555,40.96888889
Fonte Arcada e Escurquela,Fonte Arcada,-7.519722222,40.96805556
Tabuaço,Longa,-7.59212,41.06041
São Pedro do Sul,Figueiredo de Alva,-7.99306,40.8291
São Pedro do Sul,Figueiredo de Alva,-7.983333333,40.83333333
São Pedro do Sul,Pinho,-8.018888888,40.77333333
Sátão,Vila Longa,-7.59,40.74777778
São Pedro do Sul,Serrazes,-8.117777777,40.74888889
Tabuaço,Arcos,-7.5714,41.04908
São Pedro do Sul,São Martinho das Moitas,-8.10457,40.83769
São Pedro do Sul,São Martinho das Moitas,-8.071666666,40.91805556
Mogadouro,Castanheira,-6.595277777,41.39888889
Mogadouro,Castanheira,-6.58815,41.39696
Paredes de Coura,Padornelo,-8.543333333,41.91972222
Venade e Azevedo,Venade,-8.816388888,41.85472222
Santa Eufémia e Boa Vista,Santa Eufémia,-8.75221,39.7563
Santa Eufémia e Boa Vista,Santa Eufémia,-8.739444444,39.75305556
Torres Vedras,Carmões,-9.134166666,39.05777778
"Gondifelos, Cavalões e Outiz",Cavalões,-8.5825,41.41944444
"Gondifelos, Cavalões e Outiz",Cavalões,-8.56824,41.41588
Esposende,Fonte Boa,-8.738333333,41.49722222
Valbom/Bogalhal,Bogalhal,-7.121388888,40.81777778
Castelo Branco,Escalos de Baixo,-7.395277777,39.88833333
Vila Pouca de Aguiar,Tresminas,-7.518083333,41.48113889
Oliveira do Hospital,Seixo da Beira,-7.8475,40.46277778
Oliveira do Hospital,Seixo da Beira,-7.84635,40.46301
Pinhel,Lamegal,-7.079722222,40.665
Sacavém e Prior Velho,Sacavém,-9.10533,38.79442
Vila Verde,Mós,-8.441388888,41.68111111
Góis,Góis,-8.11,40.15583333
Covilhã,Cortes do Meio,-7.578888888,40.25555556
Covilhã,Cortes do Meio,-7.57344,40.27374
Abrantes,Concavada,-8.069722222,39.45
Valença,Boivão,-8.54622,42.00225
Valença,Boivão,-8.531111111,42.00944444
Braga,Santo Estêvão do Penso,-8.426111111,41.48888889
Azambuja,Vila Nova da Rainha,-8.933611111,39.03722222
Beja,Trigaches,-7.966666666,38.08333333
Além da Ribeira e Pedreira,Pedreira,-8.42193,39.6393
Além da Ribeira e Pedreira,Pedreira,-8.414166666,39.64027778
Condeixa-a-Nova,Zambujal,-8.46159,40.05554
Condeixa-a-Nova,Zambujal,-8.446111111,40.05555556
Odemira,Zambujeira do Mar,-8.783333333,37.51666667
São João do Monte e Mosteirinho,São João do Monte,-8.2497,40.57592
São João do Monte e Mosteirinho,São João do Monte,-8.235833333,40.59694444
"Vila Nova de Paiva, Alhais e Fráguas",Fráguas,-7.77,40.83833333
Tondela,Mosteirinho,-8.255,40.53166667
Tondela,Tonda,-8.0725,40.49666667
Tondela,Tonda,-8.05514,40.49866
Tondela,Dardavaz,-8.12236,40.4755
Tondela,Dardavaz,-8.113611111,40.47333333
Tondela e Nandufe,Nandufe,-8.07783,40.54324
Tondela,Lobão da Beira,-8.0331,40.51967
"Vila Nova de Paiva, Alhais e Fráguas",Alhais,-7.71788,40.8634
"Vila Nova de Paiva, Alhais e Fráguas",Alhais,-7.708333333,40.86277778
Tondela,Molelos,-8.11151,40.52368
Tondela,Molelos,-8.095555555,40.53027778
Penafiel,Perozelo,-8.263888888,41.14833333
Penafiel,Portela,-8.29534,41.10589
Termas de São Vicente,Pinheiro,-8.30217,41.12201
Lagares e Figueira,Figueira,-8.343888888,41.11722222
Penafiel,Fonte Arcada,-8.36249,41.14658
Odemira,São Teotónio,-8.7,37.5
Odemira,São Teotónio,-8.70787,37.51563
Peniche,Ferrel,-9.316111111,39.365
Baião,Gestaçô,-7.934444444,41.17805556
Baião,Gestaçô,-7.92533,41.17369
Penafiel,Capela,-8.34714,41.09621
Penafiel,Capela,-8.35,41.1
Chaves,Bustelo,-7.490277777,41.78694444
Cinfães,Bustelo,-8.015555555,41.00277778
Lisboa,Alcântara,-9.174166666,38.70638889
Beja,Nossa Senhora das Neves,-7.8,38.01666667
"Amarante (São Gonçalo), Madalena, Cepelos e Gatão",Gatão,-8.06436,41.29257
Guarda,Vale de Estrela,-7.307777777,40.49944444
"Coz, Alpedriz e Montes",Coz,-8.956111111,39.60163889
Amarante,Canadelo,-7.972222222,41.32305556
Almodôvar,Senhora da Graça de Padrões,-7.966666666,37.55
Almodôvar,Senhora da Graça de Padrões,-7.94049,37.54977
Gouveia,Cativelos,-7.681944444,40.53083333
Ribeira Grande,Calhetas,-25.61666667,37.81666667
Vidigueira,Vila de Frades,-7.816666666,38.21666667
Felgueiras e Feirão,Felgueiras,-7.93713,41.05317
Felgueiras e Feirão,Felgueiras,-7.916666666,41.05
Ovar,Maceda,-8.63074,40.92068
Ovar,Maceda,-8.616666666,40.93333333
Felgueiras,Pinheiro,-8.1575,41.36805556
Felgueiras,Pinheiro,-8.15158,41.3693
Ponte de Lima,Bárrio,-8.586666666,41.83138889
Palmela,Poceirão,-8.741388888,38.61666667
Palmela,Poceirão,-8.77482,38.66527
Garvão e Santa Luzia,Garvão,-8.342527777,37.70841667
Mértola,Corte do Pinto,-7.466666666,37.7
Mértola,Corte do Pinto,-7.48201,37.7168
Lagos,Odiáxere,-8.659722222,37.14888889
Lagos,Odiáxere,-8.6552,37.1595
Mértola,Santana de Cambas,-7.516666666,37.61666667
Mértola,Santana de Cambas,-7.52589,37.66187
Mértola,São Pedro de Solis,-7.883333333,37.48333333
Mértola,São Sebastião Dos Carros,-7.766666666,37.55
Montemor-o-Novo,Santiago do Escoural,-8.15,38.53333333
Ponta Delgada,Fajã de Baixo,-25.65,37.75
Lajes das Flores,Fajãzinha,-31.2388,39.42661
Lajes das Flores,Fajãzinha,-31.19305556,39.45277778
Lajes das Flores,Mosteiro,-31.25083333,39.41305556
Lajes das Flores,Lajedo,-31.24816667,39.39255556
Almodôvar,Gomes Aires,-8.21394,37.48955
Almodôvar,Gomes Aires,-8.166666666,37.5
Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,Santa Susana,-8.391111111,38.44722222
Portimão,Mexilhoeira Grande,-8.614444444,37.15880556
Beja,São Matias,-7.85,38.1
Moura,Santo Amador,-7.32046,38.13789
Moura,Santo Amador,-7.3,38.13333333
Moura,Sobral da Adiça,-7.25,38.01666667
Palmela,Quinta do Anjo,-8.944444444,38.56611111
Ourique,Santa Luzia,-8.41269,37.72854
Ourique,Santa Luzia,-8.4,37.71666667
Mértola,São João dos Caldeireiros,-7.81353,37.62938
Mértola,São João dos Caldeireiros,-7.783333333,37.63333333
Almodôvar,Rosário,-8.083333333,37.6
Moura (Santo Agostinho e São João Baptista) e Santo Amador,Santo Agostinho,-7.434361111,38.12933333
Ourique,Santana da Serra,-8.30561,37.49449
Ourique,Santana da Serra,-8.3,37.48333333
Moura (Santo Agostinho e São João Baptista) e Santo Amador,São João Baptista,-7.466666666,38.15
Moura (Santo Agostinho e São João Baptista) e Santo Amador,São João Baptista,-7.45435,38.15909
Ourique,Conceição,-8.233333333,37.76666667
Ourique,Conceição,-8.23702,37.77668
Alvito,Vila Nova da Baronia,-8.08003,38.25868
Alvito,Vila Nova da Baronia,-8.033333333,38.28333333
Alijó,Pinhão,-7.545027777,41.19063889
São Salvador e Santa Maria,Odemira,-8.59386,37.59538
Aljustrel,São João de Negrilhos,-8.23567,37.95271
Aljustrel,São João de Negrilhos,-8.166666666,37.93333333
São Salvador e Santa Maria,Odemira,-8.633333333,37.6
Almodôvar,São Barnabé,-8.15431,37.37487
Almodôvar,São Barnabé,-8.15,37.35
Mértola,São Miguel do Pinheiro,-7.83792,37.54948
Aljustrel,Messejana,-8.233333333,37.83333333
Aljustrel,Messejana,-8.25397,37.84991
Horta,Castelo Branco,-28.71638889,38.52083333
Valongo,Ermesinde,-8.547222222,41.21333333
Ovar,Esmoriz,-8.62951,40.96199
Ílhavo,Gafanha da Nazaré,-8.716666666,40.63333333
Loulé,Quarteira,-8.10064,37.06946
Paços de Ferreira,Freamunde,-8.339166666,41.28861111
Gondomar,Rio Tinto,-8.566666666,41.18333333
Póvoa de Santa Iria e Forte da Casa,Póvoa de Santa Iria,-9.06847,38.85616
Paredes,Gandra,-8.43129,41.1925
Paredes,Gandra,-8.433333333,41.2
Maia,Silva Escura,-8.58252,41.25383
Amadora,Alfornelos,-9.206388888,38.76333333
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Cruz Quebrada - Dafundo,-9.250555555,38.70611111
Carrazeda de Ansiães,Vilarinho da Castanheira,-7.215,41.20277778
Moledo e Cristelo,Moledo,-8.856111111,41.84611111
Alcochete,Samouco,-8.999722222,38.72027778
Alcochete,Samouco,-9.01568,38.73602
Oeiras,Queijas,-9.263333333,38.71916667
Calheta,Paul do Mar,-17.22666667,32.75416667
Vila Nova de Cerveira,Vila Meã,-8.682777777,41.98055556
Atalaia e Alto Estanqueiro-Jardia,Atalaia,-8.922777777,38.7075
Lousada,"Torno, Portugal",-8.208888888,41.29222222
Vila Nova de Famalicão,Lousado,-8.534722222,41.35138889
Vila Nova de Famalicão,Lousado,-8.53028,41.35895
Óbidos,Vau,-9.211111111,39.36444444
Mirandela,Mirandela,-7.183333333,41.48333333
Mirandela,Mirandela,-7.17805,41.47807
