,ID,property_id
0,25659,1
1,29396,1
2,555321,1
3,83933,1
4,103252,1
5,122998,1
6,125848,1
7,144851,1
8,149589,1
9,162349,1
10,229846,1
11,272438,1
12,287007,1
13,297857,1
14,29357199,1
15,301871,1
16,333311,1
17,403760,1
18,428021,1
19,454217,1
20,454267,1
21,489178,1
22,28729322,1
23,519119,1
24,521384,1
25,585285,1
26,594877,1
27,649826,1
28,656771,1
29,660530,1
30,664910,1
31,678817,1
32,715030,1
33,732985,1
34,34391784,1
35,805293,1
36,820798,1
37,845724,1
38,869312,1
39,39334901,1
40,869855,1
41,870275,1
42,896591,1
43,906305,1
44,922585,1
45,944662,1
46,960328,1
47,1138965,1
48,1018094,1
49,1052466,1
50,1073166,1
51,1085634,1
52,1148064,1
53,1264081,1
54,1275613,1
55,1300114,1
56,1333582,1
57,1352297,1
58,1367292,1
59,1374395,1
60,1406437,1
61,1492637,1
62,1503219,1
63,1522441,1
64,1525214,1
65,13021853,1
66,1566640,1
67,1676645,1
68,1726996,1
69,1733994,1
70,1737527,1
71,1773997,1
72,1846735,1
73,1891486,1
74,1892459,1
75,2000279,1
76,2075134,1
77,2091279,1
78,2291663,1
79,2329059,1
80,10594327,1
81,2543183,1
82,2715022,1
83,2907907,1
84,3051566,1
85,3081806,1
86,3082012,1
87,3088449,1
88,3111452,1
89,3170024,1
90,3182472,1
91,3185188,1
92,3237939,1
93,3244131,1
94,3271780,1
95,3331314,1
96,3376327,1
97,3399653,1
98,3419727,1
99,3429374,1
100,3437290,1
101,3503004,1
102,3508177,1
103,3537440,1
104,3538782,1
105,3548564,1
106,3614867,1
107,3620611,1
108,22312835,1
109,3826726,1
110,18447325,1
111,3879546,1
112,3883841,1
113,3883953,1
114,3944819,1
115,4024468,1
116,4040135,1
117,4051289,1
118,4053340,1
119,4059619,1
120,4063565,1
121,4182671,1
122,4447567,1
123,4448193,1
124,4500397,1
125,4537914,1
126,4548410,1
127,4612503,1
128,4661740,1
129,4749029,1
130,4776251,1
131,4799179,1
132,5184232,1
133,4923704,1
134,4934966,1
135,4997043,1
136,5068948,1
137,5121343,1
138,16641299,1
139,5271065,1
140,5337123,1
141,5363568,1
142,5454422,1
143,5553393,1
144,5558522,1
145,5598083,1
146,5611409,1
147,5724047,1
148,5732621,1
149,5776388,1
150,6007430,1
